Date,Time,Office,Event
09/03/2021,18:22:06,Malad West Dely SO,Item Delivery Confirmed
09/03/2021,13:00:52,Malad West Dely SO,Out for Delivery
09/03/2021,08:28:07,Malad West Dely SO,Item Received
08/03/2021,11:00:51,SP TMO Mumbai,Item Dispatched
08/03/2021,05:32:49,Mumbai NSH,Item Bagged
08/03/2021,00:48:22,Mumbai NSH,Item Received
07/03/2021,12:50:38,Mumbai CRC L1R,Item Received
07/03/2021,08:37:52,Mumbai Ap Inland TMO,Item Dispatched
07/03/2021,07:24:03,Mumbai Ap Inland TMO,Item Received
05/03/2021,02:41:23,MA RMS Bhawan,Item Dispatched
05/03/2021,02:09:29,Delhi RMS Bhawan CRC L1R,Item Dispatched
05/03/2021,01:03:08,Delhi RMS Bhawan CRC L1R,Item Bagged
04/03/2021,23:00:39,Delhi RMS Bhawan CRC L1R,Item Received
